Model,MPG,Weight,Grade,Grade Label,Fleet,Region,Emptyish
toyouta corona mark ii (sw),23.0,2506.0,2,2,FleetA,EAST,ok
dodge colt (sw),28.0,2164.0,5,5,FleetA,North,
toyota corolla 1600 (sw),27.0,2100.0,9,9,FleetA,south,none
buick century 350,13.0,4100.0,1,1,FleetA,EAST,ok
amc matador,14.0,3672.0,2,2,FleetA,North,
chevrolet malibu,13.0,3988.0,5,5,FleetA,south,none
ford gran torino,14.0,4042.0,9,9,FleetA,EAST,ok
dodge coronet custom,15.0,3777.0,1,1,FleetA,North,
mercury marquis brougham,12.0,4952.0,2,2,FleetA,south,none
chevrolet caprice classic,13.0,4464.0,5,5,FleetA,EAST,ok
ford ltd,13.0,4363.0,9,9,FleetA,North,
