Model,MPG,Cylinders (categorical),Displacement,Horsepower,Weight,Acceleration,Year,Origin (categorical),Origin Label,Null Trap,Segment,Segment8,Grade (categorical),Grade Label,Fleet,Region,Emptyish,Log Spaced,Long Label,Long Number,Long Code (categorical)
ford f250,10.0,8.0,360.0,215.0,4615.0,14.0,70.0,1.0,,B,Seg08,SegH,9,9,FleetA,south,none,0.002879116638022356,Gulf Coast Materials Testing Institute Theta,1234567890,0.000000000000001
chevy c20,10.0,8.0,307.0,200.0,4376.0,15.0,70.0,1.0,USA,C,Seg09,SegA,1,1,FleetA,EAST,ok,0.002979024494054672,North American Manufacturing Division Alpha,12345678901234.5,12345678901234.5
dodge d200,11.0,8.0,318.0,210.0,4382.0,13.5,70.0,1.0,USA,A,Seg10,SegB,2,2,FleetA,North,,0.0030823992397451434,Southwestern European Distribution Center Beta,0.0000001,30000000
hi 1200d,9.0,8.0,304.0,193.0,4732.0,18.5,70.0,1.0,USA,B,Seg11,SegC,5,5,FleetA,south,none,0.0031893611791857495,Pacific Rim Logistics and Supply Chain Gamma,0.0000001234567890123456,0.000000123456789
datsun pl510,27.0,4.0,97.0,88.0,2130.0,14.5,71.0,3.0,Japan,C,Seg12,SegD,9,9,FleetA,EAST,ok,0.0033000347911252854,Central Plains Research Laboratory Delta,0.30000000000000004,5550000000000000
chevrolet vega 2300,28.0,4.0,140.0,90.0,2264.0,15.5,71.0,1.0,USA,A,Seg01,SegE,1,1,FleetA,North,,0.0034145488738336009,Atlantic Coastal Engineering Station Epsilon,3.141592653589793,1000000000000000000
toyota corona,25.0,4.0,113.0,95.0,2228.0,14.0,71.0,3.0,Japan,B,Seg02,SegF,2,2,FleetA,south,none,0.0035330366949927364,Mountain West Quality Assurance Facility Zeta,2.718281828459045,0.30000000000000004
ford pinto,25.0,4.0,98.0,NaN,2046.0,19.0,71.0,1.0,USA,C,Seg03,SegG,5,5,FleetA,EAST,ok,0.0036556361467894104,Great Lakes Production Operations Eta,1.4142135623730951,1234567890
volkswagen super beetle 117,NaN,4.0,97.0,48.0,1978.0,20.0,71.0,2.0,Europe,A,Seg04,SegH,9,9,FleetA,North,,0.0037824899063893824,Gulf Coast Materials Testing Institute Theta,0.1,0.000000000000001
amc gremlin,19.0,6.0,232.0,100.0,2634.0,13.0,71.0,1.0,USA,B,Seg05,SegA,1,1,FleetA,south,none,0.0039137456019803837,North American Manufacturing Division Alpha,0.01,12345678901234.5
plymouth satellite custom,16.0,6.0,225.0,105.0,3439.0,15.5,71.0,1.0,USA,C,Seg06,SegB,2,2,FleetA,EAST,ok,0.0040495559845768886,Southwestern European Distribution Center Beta,0.001,30000000
chevrolet chevelle malibu,17.0,6.0,250.0,100.0,3329.0,15.5,71.0,1.0,USA,A,Seg07,SegC,5,5,FleetA,North,,0.0041900791057866696,Pacific Rim Logistics and Supply Chain Gamma,0.000000000001,0.000000123456789
,19.0,6.0,250.0,88.0,3302.0,15.5,71.0,1.0,USA,B,Seg08,SegD,9,9,FleetA,south,none,0.0043354785017460139,Central Plains Research Laboratory Delta,1000000000000,5550000000000000
amc matador,18.0,6.0,232.0,100.0,3288.0,15.5,71.0,1.0,USA,C,Seg09,SegE,1,1,FleetA,EAST,ok,0.0044859233834376368,Atlantic Coastal Engineering Station Epsilon,999,1000000000000000000
chevrolet impala,14.0,8.0,350.0,165.0,4209.0,12.0,71.0,1.0,USA,null,Seg10,SegF,2,2,FleetA,North,,0.0046415888336127772,Mountain West Quality Assurance Facility Zeta,1000,0.30000000000000004
pontiac catalina brougham,14.0,8.0,400.0,175.0,4464.0,11.5,71.0,1.0,USA,B,Seg11,SegG,5,5,FleetA,south,none,0.0048026560105467204,Great Lakes Production Operations Eta,999999,1234567890
ford galaxie 500,14.0,NaN,351.0,153.0,4154.0,13.5,71.0,1.0,USA,C,Seg12,SegH,9,9,FleetA,EAST,ok,0.0049693123588647331,Gulf Coast Materials Testing Institute Theta,1000000,0.000000000000001
plymouth fury iii,14.0,8.0,318.0,150.0,4096.0,13.0,71.0,1.0,USA,A,Seg01,SegA,1,1,FleetA,North,,0.0051417518276839274,North American Manufacturing Division Alpha,-30000000,12345678901234.5
dodge monaco (sw),12.0,8.0,383.0,180.0,4955.0,11.5,71.0,1.0,USA,B,Seg02,SegB,2,2,FleetA,south,none,0.0053201750963247571,Southwestern European Distribution Center Beta,-0.0000001234,30000000
ford country squire (sw),13.0,8.0,400.0,170.0,4746.0,12.0,71.0,1.0,USA,C,Seg03,SegC,5,5,FleetA,EAST,ok,0.0055047898078549673,Pacific Rim Logistics and Supply Chain Gamma,0,0.000000123456789
pontiac safari (sw),13.0,8.0,400.0,175.0,5140.0,12.0,71.0,1.0,,A,Seg04,SegD,9,9,FleetA,North,,0.0056958108107376861,Central Plains Research Laboratory Delta,1,5550000000000000
amc hornet sportabout (sw),18.0,6.0,258.0,110.0,2962.0,13.5,71.0,1.0,USA,,Seg05,SegE,1,1,FleetA,south,none,0.0058934604088649051,Atlantic Coastal Engineering Station Epsilon,-1,1000000000000000000
chevrolet vega (sw),22.0,4.0,140.0,72.0,2408.0,19.0,71.0,1.0,USA,C,Seg06,SegF,2,2,FleetA,EAST,ok,0.0060979686202673701,Mountain West Quality Assurance Facility Zeta,0.9999999999999999,0.30000000000000004
pontiac firebird,19.0,6.0,250.0,100.0,3282.0,15.0,71.0,1.0,USA,A,Seg07,SegG,5,5,FleetA,North,,0.0063095734448019303,Great Lakes Production Operations Eta,1000000000.0000001,1234567890
ford mustang,18.0,6.0,250.0,88.0,3139.0,14.5,71.0,1.0,USA,B,Seg08,SegH,9,9,FleetA,south,none,0.0065285211411278471,Gulf Coast Materials Testing Institute Theta,0.000000000000001,0.000000000000001
mercury capri 2000,23.0,4.0,122.0,86.0,2220.0,14.0,71.0,1.0,USA,C,Seg09,SegA,1,1,FleetA,EAST,ok,0.0067550665132944153,North American Manufacturing Division Alpha,1000000000000000000,12345678901234.5
opel 1900,28.0,4.0,116.0,90.0,2123.0,14.0,71.0,2.0,Europe,undefined,Seg10,SegB,2,2,FleetA,North,,0.0069894732072734861,Southwestern European Distribution Center Beta,5550000000000000,30000000
peugeot 304,30.0,4.0,79.0,70.0,2074.0,19.5,71.0,2.0,Europe,B,Seg11,SegC,5,5,FleetA,south,none,0.0072320140177818334,Pacific Rim Logistics and Supply Chain Gamma,1234567890123456,0.000000123456789
fiat 124b,30.0,4.0,88.0,76.0,2065.0,14.5,71.0,2.0,Europe,C,Seg12,SegD,9,9,FleetA,EAST,ok,0.0074829712057506289,Central Plains Research Laboratory Delta,100000000000,5550000000000000
toyota corolla 1200,31.0,4.0,71.0,65.0,1773.0,19.0,71.0,3.0,Japan,A,Seg01,SegE,1,1,FleetA,North,,0.0077426368268112694,Atlantic Coastal Engineering Station Epsilon,30000000,1000000000000000000
datsun 1200,35.0,4.0,72.0,69.0,1613.0,18.0,71.0,3.0,Japan,B,Seg02,SegF,2,2,FleetA,south,none,0.0080113130711800765,Mountain West Quality Assurance Facility Zeta,1234567890,0.30000000000000004
volkswagen model 111,27.0,4.0,97.0,60.0,1834.0,19.0,71.0,2.0,Europe,C,Seg03,SegG,5,5,FleetA,EAST,ok,0.0082893126153371528,Great Lakes Production Operations Eta,12345678901234.5,1234567890
,26.0,4.0,91.0,70.0,1955.0,20.5,71.0,1.0,USA,A,Seg04,SegH,9,9,FleetA,North,,0.0085769589859089456,Gulf Coast Materials Testing Institute Theta,0.0000001,0.000000000000001
toyota corona hardtop,24.0,4.0,113.0,95.0,2278.0,15.5,72.0,3.0,Japan,B,Seg05,SegA,1,1,FleetA,south,none,0.0088745869361777033,North American Manufacturing Division Alpha,0.0000001234567890123456,12345678901234.5
dodge colt hardtop,25.0,4.0,97.5,80.0,2126.0,17.0,72.0,1.0,USA,C,Seg06,SegB,2,2,FleetA,EAST,ok,0.0091825428356562822,Southwestern European Distribution Center Beta,0.30000000000000004,30000000
volkswagen type 3,23.0,4.0,97.0,54.0,2254.0,23.5,72.0,2.0,Europe,A,Seg07,SegC,5,5,FleetA,North,,0.0095011850731814389,Pacific Rim Logistics and Supply Chain Gamma,3.141592653589793,0.000000123456789
chevrolet vega,20.0,NaN,140.0,90.0,2408.0,19.5,72.0,1.0,USA,B,Seg08,SegD,9,9,FleetA,south,none,0.0098308844739948276,Central Plains Research Laboratory Delta,2.718281828459045,5550000000000000
ford pinto runabout,21.0,4.0,122.0,86.0,2226.0,16.5,72.0,1.0,USA,C,Seg09,SegE,1,1,FleetA,EAST,ok,0.010172024731297103,Atlantic Coastal Engineering Station Epsilon,1.4142135623730951,1000000000000000000
chevrolet impala,13.0,8.0,350.0,165.0,4274.0,12.0,72.0,1.0,USA,A,Seg10,SegF,2,2,FleetA,North,,0.010525002852777327,Mountain West Quality Assurance Facility Zeta,0.1,0.30000000000000004
pontiac catalina,14.0,8.0,400.0,175.0,4385.0,12.0,72.0,1.0,USA,B,Seg11,SegG,5,5,FleetA,south,none,0.010890229622637299,Great Lakes Production Operations Eta,0.01,1234567890
plymouth fury iii,15.0,8.0,318.0,150.0,4135.0,13.5,72.0,1.0,,C,Seg12,SegH,9,9,FleetA,EAST,ok,0.011268130079648544,Gulf Coast Materials Testing Institute Theta,0.001,0.000000000000001
ford galaxie 500,14.0,8.0,351.0,153.0,4129.0,13.0,72.0,1.0,USA,A,Seg01,SegA,1,1,FleetA,North,,0.011659144011798317,North American Manufacturing Division Alpha,0.000000000001,12345678901234.5
amc ambassador sst,17.0,8.0,304.0,150.0,3672.0,11.5,72.0,1.0,USA,B,Seg02,SegB,2,2,FleetA,south,none,0.012063726468100234,Southwestern European Distribution Center Beta,1000000000000,30000000
mercury marquis,11.0,8.0,429.0,208.0,4633.0,11.0,72.0,1.0,USA,C,Seg03,SegC,5,5,FleetA,EAST,ok,0.012482348288165192,Pacific Rim Logistics and Supply Chain Gamma,999,0.000000123456789
buick lesabre custom,13.0,8.0,350.0,155.0,4502.0,13.5,72.0,1.0,USA,A,Seg04,SegD,9,9,FleetA,North,,0.01291549665014884,Central Plains Research Laboratory Delta,1000,5550000000000000
oldsmobile delta 88 royale,12.0,8.0,350.0,160.0,4456.0,13.5,72.0,1.0,USA,B,Seg05,SegE,1,1,FleetA,south,none,0.013363675637713335,Atlantic Coastal Engineering Station Epsilon,999999,1000000000000000000
chrysler newport royal,13.0,8.0,400.0,190.0,4422.0,12.5,72.0,1.0,USA,,Seg06,SegF,2,2,FleetA,EAST,ok,0.013827406826663132,Mountain West Quality Assurance Facility Zeta,1000000,0.30000000000000004
mazda rx2 coupe,19.0,3.0,70.0,97.0,2330.0,13.5,72.0,3.0,Japan,A,Seg07,SegG,5,5,FleetA,North,,0.014307229891937572,Great Lakes Production Operations Eta,-30000000,1234567890
amc matador (sw),15.0,8.0,304.0,150.0,3892.0,12.5,72.0,1.0,USA,B,Seg08,SegH,9,9,FleetA,south,none,0.014803703235666647,Gulf Coast Materials Testing Institute Theta,-0.0000001234,0.000000000000001
chevrolet chevelle concours (sw),13.0,8.0,307.0,130.0,4098.0,14.0,72.0,1.0,USA,C,Seg09,SegA,1,1,FleetA,EAST,ok,0.015317404637020799,North American Manufacturing Division Alpha,0,12345678901234.5
ford gran torino (sw),13.0,8.0,302.0,140.0,4294.0,16.0,72.0,1.0,USA,A,Seg10,SegB,2,2,FleetA,North,,0.015848931924611141,Southwestern European Distribution Center Beta,1,30000000
plymouth satellite custom (sw),14.0,8.0,318.0,150.0,4077.0,14.0,72.0,1.0,USA,B,Seg11,SegC,5,5,FleetA,south,none,0.016398903672222478,Pacific Rim Logistics and Supply Chain Gamma,-1,0.000000123456789
,18.0,4.0,121.0,112.0,2933.0,14.5,72.0,2.0,Europe,C,Seg12,SegD,9,9,FleetA,EAST,ok,0.016967959918688977,Central Plains Research Laboratory Delta,0.9999999999999999,5550000000000000
volkswagen 411 (sw),22.0,4.0,121.0,76.0,2511.0,18.0,72.0,2.0,Europe,A,Seg01,SegE,1,1,FleetA,North,,0.017556762912750015,Atlantic Coastal Engineering Station Epsilon,1000000000.0000001,1000000000000000000
peugeot 504 (sw),21.0,4.0,120.0,87.0,2979.0,19.5,72.0,2.0,Europe,null,Seg02,SegF,2,2,FleetA,south,none,0.018165997883753268,Mountain West Quality Assurance Facility Zeta,0.000000000000001,0.30000000000000004
renault 12 (sw),26.0,4.0,96.0,69.0,2189.0,18.0,72.0,2.0,Europe,C,Seg03,SegG,5,5,FleetA,EAST,ok,0.018796373839101883,Great Lakes Production Operations Eta,1000000000000000000,1234567890
ford pinto (sw),22.0,NaN,122.0,86.0,2395.0,16.0,72.0,1.0,USA,A,Seg04,SegH,9,9,FleetA,North,,0.019448624389373625,Gulf Coast Materials Testing Institute Theta,5550000000000000,0.000000000000001
datsun 510 (sw),28.0,4.0,97.0,92.0,2288.0,17.0,72.0,3.0,Japan,B,Seg05,SegA,1,1,FleetA,south,none,0.020123508602072574,North American Manufacturing Division Alpha,1234567890123456,12345678901234.5
toyouta corona mark ii (sw),23.0,4.0,120.0,97.0,2506.0,14.5,72.0,3.0,Japan,C,Seg06,SegB,2,2,FleetA,EAST,ok,0.020821811885006584,Southwestern European Distribution Center Beta,100000000000,30000000
dodge colt (sw),28.0,4.0,98.0,80.0,2164.0,15.0,72.0,1.0,USA,A,Seg07,SegC,5,5,FleetA,North,,0.021544346900318832,Pacific Rim Logistics and Supply Chain Gamma,30000000,0.000000123456789
toyota corolla 1600 (sw),27.0,4.0,97.0,88.0,2100.0,16.5,72.0,3.0,,B,Seg08,SegD,9,9,FleetA,south,none,0.022291954510236946,Central Plains Research Laboratory Delta,1234567890,5550000000000000
buick century 350,13.0,8.0,350.0,175.0,4100.0,13.0,73.0,1.0,USA,C,Seg09,SegE,1,1,FleetA,EAST,ok,0.023065504755640526,Atlantic Coastal Engineering Station Epsilon,12345678901234.5,1000000000000000000
amc matador,14.0,8.0,304.0,150.0,3672.0,11.5,73.0,1.0,USA,A,Seg10,SegF,2,2,FleetA,North,,0.023865897868585808,Mountain West Quality Assurance Facility Zeta,0.0000001,0.30000000000000004
chevrolet malibu,13.0,8.0,350.0,145.0,3988.0,13.0,73.0,1.0,USA,B,Seg11,SegG,5,5,FleetA,south,none,0.024694065319965788,Great Lakes Production Operations Eta,0.0000001234567890123456,1234567890
ford gran torino,14.0,8.0,302.0,137.0,4042.0,14.5,73.0,1.0,USA,C,Seg12,SegH,9,9,FleetA,EAST,ok,0.02555097090352507,Gulf Coast Materials Testing Institute Theta,0.30000000000000004,0.000000000000001
dodge coronet custom,15.0,8.0,318.0,150.0,3777.0,12.5,73.0,1.0,USA,A,Seg01,SegA,1,1,FleetA,North,,0.026437611857490998,North American Manufacturing Division Alpha,3.141592653589793,12345678901234.5
mercury marquis brougham,12.0,8.0,429.0,198.0,4952.0,11.5,73.0,1.0,USA,undefined,Seg02,SegB,2,2,FleetA,south,none,0.027355020025126336,Southwestern European Distribution Center Beta,2.718281828459045,30000000
chevrolet caprice classic,13.0,8.0,400.0,150.0,4464.0,12.0,73.0,1.0,USA,C,Seg03,SegC,5,5,FleetA,EAST,ok,0.028304263055554137,Pacific Rim Logistics and Supply Chain Gamma,1.4142135623730951,0.000000123456789
ford ltd,13.0,8.0,351.0,158.0,4363.0,13.0,73.0,1.0,USA,A,Seg04,SegD,9,9,FleetA,North,,0.029286445646252358,Central Plains Research Laboratory Delta,0.1,5550000000000000
plymouth fury gran sedan,14.0,8.0,318.0,150.0,4237.0,14.5,73.0,1.0,USA,B,Seg05,SegE,1,1,FleetA,south,none,0.030302710828663964,Atlantic Coastal Engineering Station Epsilon,0.01,1000000000000000000
chrysler new yorker brougham,13.0,8.0,440.0,215.0,4735.0,11.0,73.0,1.0,USA,C,Seg06,SegF,2,2,FleetA,EAST,ok,0.031354241298418989,Mountain West Quality Assurance Facility Zeta,0.001,0.30000000000000004
buick electra 225 custom,12.0,8.0,455.0,225.0,4951.0,11.0,73.0,1.0,USA,,Seg07,SegG,5,5,FleetA,North,,0.032442260791716297,Great Lakes Production Operations Eta,0.000000000001,1234567890
,13.0,8.0,360.0,175.0,3821.0,11.0,73.0,1.0,USA,B,Seg08,SegH,9,9,FleetA,south,none,0.033568035509467256,Gulf Coast Materials Testing Institute Theta,1000000000000,0.000000000000001
plymouth valiant,18.0,6.0,225.0,105.0,3121.0,16.5,73.0,1.0,USA,C,Seg09,SegA,1,1,FleetA,EAST,ok,0.03473287559085806,North American Manufacturing Division Alpha,999,12345678901234.5
chevrolet nova custom,16.0,6.0,250.0,100.0,3278.0,18.0,73.0,1.0,USA,A,Seg10,SegB,2,2,FleetA,North,,0.035938136638046257,Southwestern European Distribution Center Beta,1000,30000000
amc hornet,18.0,6.0,232.0,100.0,2945.0,16.0,73.0,1.0,USA,B,Seg11,SegC,5,5,FleetA,south,none,0.03718522129376553,Pacific Rim Logistics and Supply Chain Gamma,999999,0.000000123456789
ford maverick,18.0,NaN,250.0,88.0,3021.0,16.5,73.0,1.0,USA,C,Seg12,SegD,9,9,FleetA,EAST,ok,0.038475580873674461,Central Plains Research Laboratory Delta,1000000,5550000000000000
plymouth duster,23.0,6.0,198.0,95.0,2904.0,16.0,73.0,1.0,USA,A,Seg01,SegE,1,1,FleetA,North,,0.039810717055349734,Atlantic Coastal Engineering Station Epsilon,-30000000,1000000000000000000
volkswagen super beetle,26.0,4.0,97.0,46.0,1950.0,21.0,73.0,2.0,Europe,B,Seg02,SegF,2,2,FleetA,south,none,0.041192183625888279,Mountain West Quality Assurance Facility Zeta,-0.0000001234,0.30000000000000004
chevrolet impala,11.0,8.0,400.0,150.0,4997.0,14.0,73.0,1.0,USA,C,Seg03,SegG,5,5,FleetA,EAST,ok,0.04262158829015323,Great Lakes Production Operations Eta,0,1234567890
ford country,12.0,8.0,400.0,167.0,4906.0,12.5,73.0,1.0,,A,Seg04,SegH,9,9,FleetA,North,,0.044100594541767367,Gulf Coast Materials Testing Institute Theta,1,0.000000000000001
plymouth custom suburb,13.0,8.0,360.0,170.0,4654.0,13.0,73.0,1.0,USA,B,Seg05,SegA,1,1,FleetA,south,none,0.045630923599031571,North American Manufacturing Division Alpha,-1,12345678901234.5
oldsmobile vista cruiser,12.0,8.0,350.0,180.0,4499.0,12.5,73.0,1.0,USA,C,Seg06,SegB,2,2,FleetA,EAST,ok,0.047214356408021643,Southwestern European Distribution Center Beta,0.9999999999999999,30000000
amc gremlin,18.0,6.0,232.0,100.0,2789.0,15.0,73.0,1.0,USA,A,Seg07,SegC,5,5,FleetA,North,,0.048852735715193919,Pacific Rim Logistics and Supply Chain Gamma,1000000000.0000001,0.000000123456789
toyota carina,20.0,4.0,97.0,88.0,2279.0,19.0,73.0,3.0,Japan,B,Seg08,SegD,9,9,FleetA,south,none,0.050547968211912403,Central Plains Research Laboratory Delta,0.000000000000001,5550000000000000
chevrolet vega,21.0,4.0,140.0,72.0,2401.0,19.5,73.0,1.0,USA,C,Seg09,SegE,1,1,FleetA,EAST,ok,0.052302026753392968,Atlantic Coastal Engineering Station Epsilon,1000000000000000000,1000000000000000000
datsun 610,22.0,4.0,108.0,94.0,2379.0,16.5,73.0,3.0,Japan,A,Seg10,SegF,2,2,FleetA,North,,0.054116952654646347,Mountain West Quality Assurance Facility Zeta,5550000000000000,0.30000000000000004
maxda rx3,18.0,3.0,70.0,90.0,2124.0,13.5,73.0,3.0,Japan,B,Seg11,SegG,5,5,FleetA,south,none,0.055994858066092959,Great Lakes Production Operations Eta,1234567890123456,1234567890
ford pinto,19.0,4.0,122.0,85.0,2310.0,18.5,73.0,1.0,USA,C,Seg12,SegH,9,9,FleetA,EAST,ok,0.057937928431613148,Gulf Coast Materials Testing Institute Theta,100000000000,0.000000000000001
mercury capri v6,21.0,6.0,155.0,107.0,2472.0,14.0,73.0,1.0,USA,A,Seg01,SegA,1,1,FleetA,North,,0.059948425031894091,North American Manufacturing Division Alpha,30000000,12345678901234.5
fiat 124 sport coupe,26.0,4.0,98.0,90.0,2265.0,15.5,73.0,2.0,Europe,B,Seg02,SegB,2,2,FleetA,south,none,0.062028687616033355,Southwestern European Distribution Center Beta,1234567890,30000000
chevrolet monte carlo s,15.0,8.0,350.0,145.0,4082.0,13.0,73.0,1.0,USA,C,Seg03,SegC,5,5,FleetA,EAST,ok,0.064181137124460719,Pacific Rim Logistics and Supply Chain Gamma,12345678901234.5,0.000000123456789
,16.0,8.0,400.0,230.0,4278.0,9.5,73.0,1.0,USA,A,Seg04,SegD,9,9,FleetA,North,,0.066408278506348409,Central Plains Research Laboratory Delta,0.0000001,5550000000000000
