Model,MPG,Cylinders,Displacement,Horsepower,Weight,Acceleration,Year,Origin,Segment,Segment8
saab 99e,25.0,4.0,104.0,95.0,2375.0,17.5,70.0,2.0,Seg05,SegE
bmw 2002,26.0,4.0,121.0,113.0,2234.0,12.5,70.0,2.0,Seg06,SegF
amc gremlin,21.0,6.0,199.0,90.0,2648.0,15.0,70.0,1.0,Seg07,SegG
ford f250,10.0,8.0,360.0,215.0,4615.0,14.0,70.0,1.0,Seg08,SegH
chevy c20,10.0,8.0,307.0,200.0,4376.0,15.0,70.0,1.0,Seg09,SegA
dodge d200,11.0,8.0,318.0,210.0,4382.0,13.5,70.0,1.0,Seg10,SegB
hi 1200d,9.0,8.0,304.0,193.0,4732.0,18.5,70.0,1.0,Seg11,SegC
datsun pl510,27.0,4.0,97.0,88.0,2130.0,14.5,71.0,3.0,Seg12,SegD
chevrolet vega 2300,28.0,4.0,140.0,90.0,2264.0,15.5,71.0,1.0,Seg01,SegE
toyota corona,25.0,4.0,113.0,95.0,2228.0,14.0,71.0,3.0,Seg02,SegF
ford pinto,25.0,4.0,98.0,NaN,2046.0,19.0,71.0,1.0,Seg03,SegG
volkswagen super beetle 117,NaN,4.0,97.0,48.0,1978.0,20.0,71.0,2.0,Seg04,SegH
amc gremlin,19.0,6.0,232.0,100.0,2634.0,13.0,71.0,1.0,Seg05,SegA
plymouth satellite custom,16.0,6.0,225.0,105.0,3439.0,15.5,71.0,1.0,Seg06,SegB
chevrolet chevelle malibu,17.0,6.0,250.0,100.0,3329.0,15.5,71.0,1.0,Seg07,SegC
ford torino 500,19.0,6.0,250.0,88.0,3302.0,15.5,71.0,1.0,Seg08,SegD
amc matador,18.0,6.0,232.0,100.0,3288.0,15.5,71.0,1.0,Seg09,SegE
chevrolet impala,14.0,8.0,350.0,165.0,4209.0,12.0,71.0,1.0,Seg10,SegF
pontiac catalina brougham,14.0,8.0,400.0,175.0,4464.0,11.5,71.0,1.0,Seg11,SegG
ford galaxie 500,14.0,8.0,351.0,153.0,4154.0,13.5,71.0,1.0,Seg12,SegH
plymouth fury iii,14.0,8.0,318.0,150.0,4096.0,13.0,71.0,1.0,Seg01,SegA
dodge monaco (sw),12.0,8.0,383.0,180.0,4955.0,11.5,71.0,1.0,Seg02,SegB
ford country squire (sw),13.0,8.0,400.0,170.0,4746.0,12.0,71.0,1.0,Seg03,SegC
pontiac safari (sw),13.0,8.0,400.0,175.0,5140.0,12.0,71.0,1.0,Seg04,SegD
amc hornet sportabout (sw),18.0,6.0,258.0,110.0,2962.0,13.5,71.0,1.0,Seg05,SegE
chevrolet vega (sw),22.0,4.0,140.0,72.0,2408.0,19.0,71.0,1.0,Seg06,SegF
pontiac firebird,19.0,6.0,250.0,100.0,3282.0,15.0,71.0,1.0,Seg07,SegG
ford mustang,18.0,6.0,250.0,88.0,3139.0,14.5,71.0,1.0,Seg08,SegH
mercury capri 2000,23.0,4.0,122.0,86.0,2220.0,14.0,71.0,1.0,Seg09,SegA
opel 1900,28.0,4.0,116.0,90.0,2123.0,14.0,71.0,2.0,Seg10,SegB
peugeot 304,30.0,4.0,79.0,70.0,2074.0,19.5,71.0,2.0,Seg11,SegC
fiat 124b,30.0,4.0,88.0,76.0,2065.0,14.5,71.0,2.0,Seg12,SegD
toyota corolla 1200,31.0,4.0,71.0,65.0,1773.0,19.0,71.0,3.0,Seg01,SegE
datsun 1200,35.0,4.0,72.0,69.0,1613.0,18.0,71.0,3.0,Seg02,SegF
volkswagen model 111,27.0,4.0,97.0,60.0,1834.0,19.0,71.0,2.0,Seg03,SegG
plymouth cricket,26.0,4.0,91.0,70.0,1955.0,20.5,71.0,1.0,Seg04,SegH
toyota corona hardtop,24.0,4.0,113.0,95.0,2278.0,15.5,72.0,3.0,Seg05,SegA
dodge colt hardtop,25.0,4.0,97.5,80.0,2126.0,17.0,72.0,1.0,Seg06,SegB
volkswagen type 3,23.0,4.0,97.0,54.0,2254.0,23.5,72.0,2.0,Seg07,SegC
chevrolet vega,20.0,4.0,140.0,90.0,2408.0,19.5,72.0,1.0,Seg08,SegD
ford pinto runabout,21.0,4.0,122.0,86.0,2226.0,16.5,72.0,1.0,Seg09,SegE
chevrolet impala,13.0,8.0,350.0,165.0,4274.0,12.0,72.0,1.0,Seg10,SegF
pontiac catalina,14.0,8.0,400.0,175.0,4385.0,12.0,72.0,1.0,Seg11,SegG
plymouth fury iii,15.0,8.0,318.0,150.0,4135.0,13.5,72.0,1.0,Seg12,SegH
ford galaxie 500,14.0,8.0,351.0,153.0,4129.0,13.0,72.0,1.0,Seg01,SegA
amc ambassador sst,17.0,8.0,304.0,150.0,3672.0,11.5,72.0,1.0,Seg02,SegB
mercury marquis,11.0,8.0,429.0,208.0,4633.0,11.0,72.0,1.0,Seg03,SegC
buick lesabre custom,13.0,8.0,350.0,155.0,4502.0,13.5,72.0,1.0,Seg04,SegD
oldsmobile delta 88 royale,12.0,8.0,350.0,160.0,4456.0,13.5,72.0,1.0,Seg05,SegE
chrysler newport royal,13.0,8.0,400.0,190.0,4422.0,12.5,72.0,1.0,Seg06,SegF
mazda rx2 coupe,19.0,3.0,70.0,97.0,2330.0,13.5,72.0,3.0,Seg07,SegG
amc matador (sw),15.0,8.0,304.0,150.0,3892.0,12.5,72.0,1.0,Seg08,SegH
chevrolet chevelle concours (sw),13.0,8.0,307.0,130.0,4098.0,14.0,72.0,1.0,Seg09,SegA
ford gran torino (sw),13.0,8.0,302.0,140.0,4294.0,16.0,72.0,1.0,Seg10,SegB
plymouth satellite custom (sw),14.0,8.0,318.0,150.0,4077.0,14.0,72.0,1.0,Seg11,SegC
volvo 145e (sw),18.0,4.0,121.0,112.0,2933.0,14.5,72.0,2.0,Seg12,SegD
volkswagen 411 (sw),22.0,4.0,121.0,76.0,2511.0,18.0,72.0,2.0,Seg01,SegE
peugeot 504 (sw),21.0,4.0,120.0,87.0,2979.0,19.5,72.0,2.0,Seg02,SegF
renault 12 (sw),26.0,4.0,96.0,69.0,2189.0,18.0,72.0,2.0,Seg03,SegG
ford pinto (sw),22.0,4.0,122.0,86.0,2395.0,16.0,72.0,1.0,Seg04,SegH
datsun 510 (sw),28.0,4.0,97.0,92.0,2288.0,17.0,72.0,3.0,Seg05,SegA
toyouta corona mark ii (sw),23.0,4.0,120.0,97.0,2506.0,14.5,72.0,3.0,Seg06,SegB
dodge colt (sw),28.0,4.0,98.0,80.0,2164.0,15.0,72.0,1.0,Seg07,SegC
toyota corolla 1600 (sw),27.0,4.0,97.0,88.0,2100.0,16.5,72.0,3.0,Seg08,SegD
buick century 350,13.0,8.0,350.0,175.0,4100.0,13.0,73.0,1.0,Seg09,SegE
amc matador,14.0,8.0,304.0,150.0,3672.0,11.5,73.0,1.0,Seg10,SegF
chevrolet malibu,13.0,8.0,350.0,145.0,3988.0,13.0,73.0,1.0,Seg11,SegG
ford gran torino,14.0,8.0,302.0,137.0,4042.0,14.5,73.0,1.0,Seg12,SegH
dodge coronet custom,15.0,8.0,318.0,150.0,3777.0,12.5,73.0,1.0,Seg01,SegA
mercury marquis brougham,12.0,8.0,429.0,198.0,4952.0,11.5,73.0,1.0,Seg02,SegB
chevrolet caprice classic,13.0,8.0,400.0,150.0,4464.0,12.0,73.0,1.0,Seg03,SegC
ford ltd,13.0,8.0,351.0,158.0,4363.0,13.0,73.0,1.0,Seg04,SegD
plymouth fury gran sedan,14.0,8.0,318.0,150.0,4237.0,14.5,73.0,1.0,Seg05,SegE
chrysler new yorker brougham,13.0,8.0,440.0,215.0,4735.0,11.0,73.0,1.0,Seg06,SegF
buick electra 225 custom,12.0,8.0,455.0,225.0,4951.0,11.0,73.0,1.0,Seg07,SegG
amc ambassador brougham,13.0,8.0,360.0,175.0,3821.0,11.0,73.0,1.0,Seg08,SegH
plymouth valiant,18.0,6.0,225.0,105.0,3121.0,16.5,73.0,1.0,Seg09,SegA
chevrolet nova custom,16.0,6.0,250.0,100.0,3278.0,18.0,73.0,1.0,Seg10,SegB
amc hornet,18.0,6.0,232.0,100.0,2945.0,16.0,73.0,1.0,Seg11,SegC
ford maverick,18.0,6.0,250.0,88.0,3021.0,16.5,73.0,1.0,Seg12,SegD
plymouth duster,23.0,6.0,198.0,95.0,2904.0,16.0,73.0,1.0,Seg01,SegE
volkswagen super beetle,26.0,4.0,97.0,46.0,1950.0,21.0,73.0,2.0,Seg02,SegF
chevrolet impala,11.0,8.0,400.0,150.0,4997.0,14.0,73.0,1.0,Seg03,SegG
ford country,12.0,8.0,400.0,167.0,4906.0,12.5,73.0,1.0,Seg04,SegH
plymouth custom suburb,13.0,8.0,360.0,170.0,4654.0,13.0,73.0,1.0,Seg05,SegA
oldsmobile vista cruiser,12.0,8.0,350.0,180.0,4499.0,12.5,73.0,1.0,Seg06,SegB
amc gremlin,18.0,6.0,232.0,100.0,2789.0,15.0,73.0,1.0,Seg07,SegC
toyota carina,20.0,4.0,97.0,88.0,2279.0,19.0,73.0,3.0,Seg08,SegD
chevrolet vega,21.0,4.0,140.0,72.0,2401.0,19.5,73.0,1.0,Seg09,SegE
datsun 610,22.0,4.0,108.0,94.0,2379.0,16.5,73.0,3.0,Seg10,SegF
maxda rx3,18.0,3.0,70.0,90.0,2124.0,13.5,73.0,3.0,Seg11,SegG
ford pinto,19.0,4.0,122.0,85.0,2310.0,18.5,73.0,1.0,Seg12,SegH
mercury capri v6,21.0,6.0,155.0,107.0,2472.0,14.0,73.0,1.0,Seg01,SegA
fiat 124 sport coupe,26.0,4.0,98.0,90.0,2265.0,15.5,73.0,2.0,Seg02,SegB
chevrolet monte carlo s,15.0,8.0,350.0,145.0,4082.0,13.0,73.0,1.0,Seg03,SegC
pontiac grand prix,16.0,8.0,400.0,230.0,4278.0,9.5,73.0,1.0,Seg04,SegD
fiat 128,29.0,4.0,68.0,49.0,1867.0,19.5,73.0,2.0,Seg05,SegE
opel manta,24.0,4.0,116.0,75.0,2158.0,15.5,73.0,2.0,Seg06,SegF
audi 100ls,20.0,4.0,114.0,91.0,2582.0,14.0,73.0,2.0,Seg07,SegG
volvo 144ea,19.0,4.0,121.0,112.0,2868.0,15.5,73.0,2.0,Seg08,SegH
dodge dart custom,15.0,8.0,318.0,150.0,3399.0,11.0,73.0,1.0,Seg09,SegA
saab 99le,24.0,4.0,121.0,110.0,2660.0,14.0,73.0,2.0,Seg10,SegB
toyota mark ii,20.0,6.0,156.0,122.0,2807.0,13.5,73.0,3.0,Seg11,SegC
oldsmobile omega,11.0,8.0,350.0,180.0,3664.0,11.0,73.0,1.0,Seg12,SegD
plymouth duster,20.0,6.0,198.0,95.0,3102.0,16.5,74.0,1.0,Seg01,SegE
ford maverick,21.0,6.0,200.0,NaN,2875.0,17.0,74.0,1.0,Seg02,SegF
amc hornet,19.0,6.0,232.0,100.0,2901.0,16.0,74.0,1.0,Seg03,SegG
chevrolet nova,15.0,6.0,250.0,100.0,3336.0,17.0,74.0,1.0,Seg04,SegH
datsun b210,31.0,4.0,79.0,67.0,1950.0,19.0,74.0,3.0,Seg05,SegA
ford pinto,26.0,4.0,122.0,80.0,2451.0,16.5,74.0,1.0,Seg06,SegB
toyota corolla 1200,32.0,4.0,71.0,65.0,1836.0,21.0,74.0,3.0,Seg07,SegC
chevrolet vega,25.0,4.0,140.0,75.0,2542.0,17.0,74.0,1.0,Seg08,SegD
chevrolet chevelle malibu classic,16.0,6.0,250.0,100.0,3781.0,17.0,74.0,1.0,Seg09,SegE
amc matador,16.0,6.0,258.0,110.0,3632.0,18.0,74.0,1.0,Seg10,SegF
plymouth satellite sebring,18.0,6.0,225.0,105.0,3613.0,16.5,74.0,1.0,Seg11,SegG
ford gran torino,16.0,8.0,302.0,140.0,4141.0,14.0,74.0,1.0,Seg12,SegH
buick century luxus (sw),13.0,8.0,350.0,150.0,4699.0,14.5,74.0,1.0,Seg01,SegA
dodge coronet custom (sw),14.0,8.0,318.0,150.0,4457.0,13.5,74.0,1.0,Seg02,SegB
ford gran torino (sw),14.0,8.0,302.0,140.0,4638.0,16.0,74.0,1.0,Seg03,SegC
amc matador (sw),14.0,8.0,304.0,150.0,4257.0,15.5,74.0,1.0,Seg04,SegD
audi fox,29.0,4.0,98.0,83.0,2219.0,16.5,74.0,2.0,Seg05,SegE
volkswagen dasher,26.0,4.0,79.0,67.0,1963.0,15.5,74.0,2.0,Seg06,SegF
opel manta,26.0,4.0,97.0,78.0,2300.0,14.5,74.0,2.0,Seg07,SegG
toyota corona,31.0,4.0,76.0,52.0,1649.0,16.5,74.0,3.0,Seg08,SegH
datsun 710,32.0,4.0,83.0,61.0,2003.0,19.0,74.0,3.0,Seg09,SegA
dodge colt,28.0,4.0,90.0,75.0,2125.0,14.5,74.0,1.0,Seg10,SegB
fiat 128,24.0,4.0,90.0,75.0,2108.0,15.5,74.0,2.0,Seg11,SegC
fiat 124 tc,26.0,4.0,116.0,75.0,2246.0,14.0,74.0,2.0,Seg12,SegD
honda civic,24.0,4.0,120.0,97.0,2489.0,15.0,74.0,3.0,Seg01,SegE
subaru,26.0,4.0,108.0,93.0,2391.0,15.5,74.0,3.0,Seg02,SegF
fiat x1.9,31.0,4.0,79.0,67.0,2000.0,16.0,74.0,2.0,Seg03,SegG
plymouth valiant custom,19.0,6.0,225.0,95.0,3264.0,16.0,75.0,1.0,Seg04,SegH
chevrolet nova,18.0,6.0,250.0,105.0,3459.0,16.0,75.0,1.0,Seg05,SegA
mercury monarch,15.0,6.0,250.0,72.0,3432.0,21.0,75.0,1.0,Seg06,SegB
ford maverick,15.0,6.0,250.0,72.0,3158.0,19.5,75.0,1.0,Seg07,SegC
pontiac catalina,16.0,8.0,400.0,170.0,4668.0,11.5,75.0,1.0,Seg08,SegD
chevrolet bel air,15.0,8.0,350.0,145.0,4440.0,14.0,75.0,1.0,Seg09,SegE
plymouth grand fury,16.0,8.0,318.0,150.0,4498.0,14.5,75.0,1.0,Seg10,SegF
ford ltd,14.0,8.0,351.0,148.0,4657.0,13.5,75.0,1.0,Seg11,SegG
buick century,17.0,6.0,231.0,110.0,3907.0,21.0,75.0,1.0,Seg12,SegH
chevroelt chevelle malibu,16.0,6.0,250.0,105.0,3897.0,18.5,75.0,1.0,Seg01,SegA
amc matador,15.0,6.0,258.0,110.0,3730.0,19.0,75.0,1.0,Seg02,SegB
plymouth fury,18.0,6.0,225.0,95.0,3785.0,19.0,75.0,1.0,Seg03,SegC
buick skyhawk,21.0,6.0,231.0,110.0,3039.0,15.0,75.0,1.0,Seg04,SegD
chevrolet monza 2+2,20.0,8.0,262.0,110.0,3221.0,13.5,75.0,1.0,Seg05,SegE
ford mustang ii,13.0,8.0,302.0,129.0,3169.0,12.0,75.0,1.0,Seg06,SegF
toyota corolla,29.0,4.0,97.0,75.0,2171.0,16.0,75.0,3.0,Seg07,SegG
ford pinto,23.0,4.0,140.0,83.0,2639.0,17.0,75.0,1.0,Seg08,SegH
amc gremlin,20.0,6.0,232.0,100.0,2914.0,16.0,75.0,1.0,Seg09,SegA
pontiac astro,23.0,4.0,140.0,78.0,2592.0,18.5,75.0,1.0,Seg10,SegB
toyota corona,24.0,4.0,134.0,96.0,2702.0,13.5,75.0,3.0,Seg11,SegC
volkswagen dasher,25.0,4.0,90.0,71.0,2223.0,16.5,75.0,2.0,Seg12,SegD
datsun 710,24.0,4.0,119.0,97.0,2545.0,17.0,75.0,3.0,Seg01,SegE
ford pinto,18.0,6.0,171.0,97.0,2984.0,14.5,75.0,1.0,Seg02,SegF
volkswagen rabbit,29.0,4.0,90.0,70.0,1937.0,14.0,75.0,2.0,Seg03,SegG
amc pacer,19.0,6.0,232.0,90.0,3211.0,17.0,75.0,1.0,Seg04,SegH
audi 100ls,23.0,4.0,115.0,95.0,2694.0,15.0,75.0,2.0,Seg05,SegA
peugeot 504,23.0,4.0,120.0,88.0,2957.0,17.0,75.0,2.0,Seg06,SegB
volvo 244dl,22.0,4.0,121.0,98.0,2945.0,14.5,75.0,2.0,Seg07,SegC
saab 99le,25.0,4.0,121.0,115.0,2671.0,13.5,75.0,2.0,Seg08,SegD
honda civic cvcc,33.0,4.0,91.0,53.0,1795.0,17.5,75.0,3.0,Seg09,SegE
fiat 131,28.0,4.0,107.0,86.0,2464.0,15.5,76.0,2.0,Seg10,SegF
opel 1900,25.0,4.0,116.0,81.0,2220.0,16.9,76.0,2.0,Seg11,SegG
capri ii,25.0,4.0,140.0,92.0,2572.0,14.9,76.0,1.0,Seg12,SegH
dodge colt,26.0,4.0,98.0,79.0,2255.0,17.7,76.0,1.0,Seg01,SegA
renault 12tl,27.0,4.0,101.0,83.0,2202.0,15.3,76.0,2.0,Seg02,SegB
chevrolet chevelle malibu classic,17.5,8.0,305.0,140.0,4215.0,13.0,76.0,1.0,Seg03,SegC
dodge coronet brougham,16.0,8.0,318.0,150.0,4190.0,13.0,76.0,1.0,Seg04,SegD
amc matador,15.5,8.0,304.0,120.0,3962.0,13.9,76.0,1.0,Seg05,SegE
ford gran torino,14.5,8.0,351.0,152.0,4215.0,12.8,76.0,1.0,Seg06,SegF
plymouth valiant,22.0,6.0,225.0,100.0,3233.0,15.4,76.0,1.0,Seg07,SegG
chevrolet nova,22.0,6.0,250.0,105.0,3353.0,14.5,76.0,1.0,Seg08,SegH
ford maverick,24.0,6.0,200.0,81.0,3012.0,17.6,76.0,1.0,Seg09,SegA
amc hornet,22.5,6.0,232.0,90.0,3085.0,17.6,76.0,1.0,Seg10,SegB
chevrolet chevette,29.0,4.0,85.0,52.0,2035.0,22.2,76.0,1.0,Seg11,SegC
chevrolet woody,24.5,4.0,98.0,60.0,2164.0,22.1,76.0,1.0,Seg12,SegD
vw rabbit,29.0,4.0,90.0,70.0,1937.0,14.2,76.0,2.0,Seg01,SegE
honda civic,33.0,4.0,91.0,53.0,1795.0,17.4,76.0,3.0,Seg02,SegF
dodge aspen se,20.0,6.0,225.0,100.0,3651.0,17.7,76.0,1.0,Seg03,SegG
ford granada ghia,18.0,6.0,250.0,78.0,3574.0,21.0,76.0,1.0,Seg04,SegH
pontiac ventura sj,18.5,6.0,250.0,110.0,3645.0,16.2,76.0,1.0,Seg05,SegA
amc pacer d/l,17.5,6.0,258.0,95.0,3193.0,17.8,76.0,1.0,Seg06,SegB
volkswagen rabbit,29.5,4.0,97.0,71.0,1825.0,12.2,76.0,2.0,Seg07,SegC
datsun b-210,32.0,4.0,85.0,70.0,1990.0,17.0,76.0,3.0,Seg08,SegD
toyota corolla,28.0,4.0,97.0,75.0,2155.0,16.4,76.0,3.0,Seg09,SegE
ford pinto,26.5,4.0,140.0,72.0,2565.0,13.6,76.0,1.0,Seg10,SegF
volvo 245,20.0,4.0,130.0,102.0,3150.0,15.7,76.0,2.0,Seg11,SegG
plymouth volare premier v8,13.0,8.0,318.0,150.0,3940.0,13.2,76.0,1.0,Seg12,SegH
peugeot 504,19.0,4.0,120.0,88.0,3270.0,21.9,76.0,2.0,Seg01,SegA
toyota mark ii,19.0,6.0,156.0,108.0,2930.0,15.5,76.0,3.0,Seg02,SegB
mercedes-benz 280s,16.5,6.0,168.0,120.0,3820.0,16.7,76.0,2.0,Seg03,SegC
cadillac seville,16.5,8.0,350.0,180.0,4380.0,12.1,76.0,1.0,Seg04,SegD
chevy c10,13.0,8.0,350.0,145.0,4055.0,12.0,76.0,1.0,Seg05,SegE
ford f108,13.0,8.0,302.0,130.0,3870.0,15.0,76.0,1.0,Seg06,SegF
dodge d100,13.0,8.0,318.0,150.0,3755.0,14.0,76.0,1.0,Seg07,SegG
honda accord cvcc,31.5,4.0,98.0,68.0,2045.0,18.5,77.0,3.0,Seg08,SegH
buick opel isuzu deluxe,30.0,4.0,111.0,80.0,2155.0,14.8,77.0,1.0,Seg09,SegA
renault 5 gtl,36.0,4.0,79.0,58.0,1825.0,18.6,77.0,2.0,Seg10,SegB
plymouth arrow gs,25.5,4.0,122.0,96.0,2300.0,15.5,77.0,1.0,Seg11,SegC
datsun f-10 hatchback,33.5,4.0,85.0,70.0,1945.0,16.8,77.0,3.0,Seg12,SegD
chevrolet caprice classic,17.5,8.0,305.0,145.0,3880.0,12.5,77.0,1.0,Seg01,SegE
oldsmobile cutlass supreme,17.0,8.0,260.0,110.0,4060.0,19.0,77.0,1.0,Seg02,SegF
dodge monaco brougham,15.5,8.0,318.0,145.0,4140.0,13.7,77.0,1.0,Seg03,SegG
mercury cougar brougham,15.0,8.0,302.0,130.0,4295.0,14.9,77.0,1.0,Seg04,SegH
chevrolet concours,17.5,6.0,250.0,110.0,3520.0,16.4,77.0,1.0,Seg05,SegA
buick skylark,20.5,6.0,231.0,105.0,3425.0,16.9,77.0,1.0,Seg06,SegB
plymouth volare custom,19.0,6.0,225.0,100.0,3630.0,17.7,77.0,1.0,Seg07,SegC
ford granada,18.5,6.0,250.0,98.0,3525.0,19.0,77.0,1.0,Seg08,SegD
pontiac grand prix lj,16.0,8.0,400.0,180.0,4220.0,11.1,77.0,1.0,Seg09,SegE
chevrolet monte carlo landau,15.5,8.0,350.0,170.0,4165.0,11.4,77.0,1.0,Seg10,SegF
chrysler cordoba,15.5,8.0,400.0,190.0,4325.0,12.2,77.0,1.0,Seg11,SegG
ford thunderbird,16.0,8.0,351.0,149.0,4335.0,14.5,77.0,1.0,Seg12,SegH
volkswagen rabbit custom,29.0,4.0,97.0,78.0,1940.0,14.5,77.0,2.0,Seg01,SegA
pontiac sunbird coupe,24.5,4.0,151.0,88.0,2740.0,16.0,77.0,1.0,Seg02,SegB
toyota corolla liftback,26.0,4.0,97.0,75.0,2265.0,18.2,77.0,3.0,Seg03,SegC
ford mustang ii 2+2,25.5,4.0,140.0,89.0,2755.0,15.8,77.0,1.0,Seg04,SegD
chevrolet chevette,30.5,4.0,98.0,63.0,2051.0,17.0,77.0,1.0,Seg05,SegE
dodge colt m/m,33.5,4.0,98.0,83.0,2075.0,15.9,77.0,1.0,Seg06,SegF
subaru dl,30.0,4.0,97.0,67.0,1985.0,16.4,77.0,3.0,Seg07,SegG
volkswagen dasher,30.5,4.0,97.0,78.0,2190.0,14.1,77.0,2.0,Seg08,SegH
datsun 810,22.0,6.0,146.0,97.0,2815.0,14.5,77.0,3.0,Seg09,SegA
bmw 320i,21.5,4.0,121.0,110.0,2600.0,12.8,77.0,2.0,Seg10,SegB
mazda rx-4,21.5,3.0,80.0,110.0,2720.0,13.5,77.0,3.0,Seg11,SegC
volkswagen rabbit custom diesel,43.1,4.0,90.0,48.0,1985.0,21.5,78.0,2.0,Seg12,SegD
ford fiesta,36.1,4.0,98.0,66.0,1800.0,14.4,78.0,1.0,Seg01,SegE
mazda glc deluxe,32.8,4.0,78.0,52.0,1985.0,19.4,78.0,3.0,Seg02,SegF
datsun b210 gx,39.4,4.0,85.0,70.0,2070.0,18.6,78.0,3.0,Seg03,SegG
honda civic cvcc,36.1,4.0,91.0,60.0,1800.0,16.4,78.0,3.0,Seg04,SegH
oldsmobile cutlass salon brougham,19.9,8.0,260.0,110.0,3365.0,15.5,78.0,1.0,Seg05,SegA
dodge diplomat,19.4,8.0,318.0,140.0,3735.0,13.2,78.0,1.0,Seg06,SegB
mercury monarch ghia,20.2,8.0,302.0,139.0,3570.0,12.8,78.0,1.0,Seg07,SegC
pontiac phoenix lj,19.2,6.0,231.0,105.0,3535.0,19.2,78.0,1.0,Seg08,SegD
chevrolet malibu,20.5,6.0,200.0,95.0,3155.0,18.2,78.0,1.0,Seg09,SegE
ford fairmont (auto),20.2,6.0,200.0,85.0,2965.0,15.8,78.0,1.0,Seg10,SegF
ford fairmont (man),25.1,4.0,140.0,88.0,2720.0,15.4,78.0,1.0,Seg11,SegG
plymouth volare,20.5,6.0,225.0,100.0,3430.0,17.2,78.0,1.0,Seg12,SegH
amc concord,19.4,6.0,232.0,90.0,3210.0,17.2,78.0,1.0,Seg01,SegA
buick century special,20.6,6.0,231.0,105.0,3380.0,15.8,78.0,1.0,Seg02,SegB
mercury zephyr,20.8,6.0,200.0,85.0,3070.0,16.7,78.0,1.0,Seg03,SegC
dodge aspen,18.6,6.0,225.0,110.0,3620.0,18.7,78.0,1.0,Seg04,SegD
amc concord d/l,18.1,6.0,258.0,120.0,3410.0,15.1,78.0,1.0,Seg05,SegE
chevrolet monte carlo landau,19.2,8.0,305.0,145.0,3425.0,13.2,78.0,1.0,Seg06,SegF
buick regal sport coupe (turbo),17.7,6.0,231.0,165.0,3445.0,13.4,78.0,1.0,Seg07,SegG
ford futura,18.1,8.0,302.0,139.0,3205.0,11.2,78.0,1.0,Seg08,SegH
dodge magnum xe,17.5,8.0,318.0,140.0,4080.0,13.7,78.0,1.0,Seg09,SegA
chevrolet chevette,30.0,4.0,98.0,68.0,2155.0,16.5,78.0,1.0,Seg10,SegB
toyota corona,27.5,4.0,134.0,95.0,2560.0,14.2,78.0,3.0,Seg11,SegC
